school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Bowman Elementary,Ackerman,2008-09,508,Natural Disasters & Weather,Inclement Weather,snow,13-Feb-09,2009,1,,Placer
Bowman Charter,Ackerman Elementary,2009-10,503,Natural Disasters & Weather,Inclement Weather,Snow,"December 7 and 8, 2009",2009,2,,Placer
Bowman Charter,Ackerman Elementary,2010-11,518,Natural Disasters & Weather,Inclement Weather,Low snow.,25-Feb-11,2011,1,,Placer
Agua Dulce Elementary,Acton-Agua Dulce Unified,2004-05,352,Natural Disasters & Weather,Inclement Weather,"Inclement weather (heavy rain) and road closures causing unsafe driving conditions for bussing, as well as communities that were trapped due to road closures.","January 10 and 11, 2005",2005,2,1.97531E+13,Los Angeles
Agua Dulce Elementary,Acton-Agua Dulce Unified,2008-09,301,Natural Disasters & Weather,Inclement Weather,Inclement weather (snow) and road closures caused unsafe road conditions.,"December 17-19, 2008",2008,3,1.97531E+13,Los Angeles
High Desert,Acton-Agua Dulce Unified,2004-05,558,Natural Disasters & Weather,Inclement Weather,"Inclement weather (heavy rain) and road closures causing unsafe driving conditions for bussing, as well as communities that were trapped due to road closures.","January 10 and 11, 2005",2005,2,1.97531E+13,Los Angeles
High Desert,Acton-Agua Dulce Unified,2008-09,462,Natural Disasters & Weather,Inclement Weather,Inclement weather (snow) and road closures caused unsafe road conditions.,"December 17-19, 2008",2008,3,1.97531E+13,Los Angeles
High Desert,Acton-Agua Dulce Unified,2016-17,272,Natural Disasters & Weather,Inclement Weather,"School closure, sever weither conditions, snow.",23-Jan-17,2017,1,1.97531E+13,Los Angeles
Meadowlark Elementary,Acton-Agua Dulce Unified,2004-05,488,Natural Disasters & Weather,Inclement Weather,"Inclement weather (heavy rain) and road closures causing unsafe driving conditions for bussing, as well as communities that were trapped due to road closures.","January 10 and 11, 2005",2005,2,1.97531E+13,Los Angeles
Meadowlark Elementary,Acton-Agua Dulce Unified,2008-09,428,Natural Disasters & Weather,Inclement Weather,Inclement weather (snow) and road closures caused unsafe road conditions.,"December 17-19, 2008",2008,3,1.97531E+13,Los Angeles
Meadowlark Elementary,Acton-Agua Dulce Unified,2016-17,463,Natural Disasters & Weather,Inclement Weather,"School closure, sever weither conditions, snow.",23-Jan-17,2017,1,1.97531E+13,Los Angeles
Vasquez High,Acton-Agua Dulce Unified,2004-05,588,Natural Disasters & Weather,Inclement Weather,"Inclement weather (heavy rain) and road closures causing unsafe driving conditions for bussing, as well as communities that were trapped due to road closures.","January 10 and 11, 2005",2005,2,1.97531E+13,Los Angeles
Vasquez High,Acton-Agua Dulce Unified,2008-09,616,Natural Disasters & Weather,Inclement Weather,Inclement weather (snow) and road closures caused unsafe road conditions.,"December 17-19, 2008",2008,3,1.97531E+13,Los Angeles
Vasquez High,Acton-Agua Dulce Unified,2016-17,359,Natural Disasters & Weather,Inclement Weather,"School closure, sever weither conditions, snow.",23-Jan-17,2017,1,1.97531E+13,Los Angeles
Adelanto Charter Academy,Adelanto Elementary,2009-10,4,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Adelanto Elementary,Adelanto Elementary,2008-09,568,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
Adelanto Elementary,Adelanto Elementary,2009-10,581,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Alta Vista Public,Adelanto Elementary,2009-10,171,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Columbia Middle,Adelanto Elementary,2008-09,623,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
Columbia Middle,Adelanto Elementary,2009-10,564,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Desert Trails Elementary,Adelanto Elementary,2008-09,697,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,,San Bernardino
Desert Trails Elementary,Adelanto Elementary,2009-10,677,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,,San Bernardino
Donald F. Bradach Elementary,Adelanto Elementary,2008-09,735,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
Donald F. Bradach Elementary,Adelanto Elementary,2009-10,684,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Eagle Ranch,Adelanto Elementary,2008-09,976,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,,San Bernardino
Eagle Ranch,Adelanto Elementary,2009-10,960,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,,San Bernardino
George Visual and Performing Arts Magnet and Middle,Adelanto Elementary,2008-09,517,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
George Visual and Performing Arts Magnet and Middle,Adelanto Elementary,2009-10,503,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools., , January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Mesa Linda Middle,Adelanto Elementary,2008-09,949,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
Mesa Linda Middle,Adelanto Elementary,2009-10,983,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Morgan/Kincaid Preparatory of Integrated Studies,Adelanto Elementary,2009-10,727,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools., , January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,,San Bernardino
Morgan/Kincaid Preparatory School of Integrated St,Adelanto Elementary,2008-09,702,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,,
Theodore Vick Elementary,Adelanto Elementary,2008-09,666,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
Theodore Vick Elementary,Adelanto Elementary,2009-10,755,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Victoria Magathan Elementary,Adelanto Elementary,2008-09,631,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
Victoria Magathan Elementary,Adelanto Elementary,2009-10,575,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
West Creek Elementary,Adelanto Elementary,2008-09,524,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
West Creek Elementary,Adelanto Elementary,2009-10,503,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Westside Park Elementary,Adelanto Elementary,2008-09,639,Natural Disasters & Weather,Inclement Weather,Inclement weather caused impassable roads.,"December 17-19, 2008",2008,3,3.66759E+13,San Bernardino
Westside Park Elementary,Adelanto Elementary,2009-10,722,Natural Disasters & Weather,Inclement Weather,"A series of storms caused significant damage to several classrooms at various schools.
, January 21, 2010 material decrease. January 22, 2010 school closure.",22-Jan-10,2010,1,3.66759E+13,San Bernardino
Alameda County Community,Alameda County Office of Education,2014-15,277,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014 - closure; December 12, 2014 - material decrease",2014,1,,Alameda
Community School for Creative Education,Alameda County Office of Education,2014-15,191,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,"December 11, 2014 - closure, December 12, 2014 - material decrease",2014,1,,Alameda
Alameda High,Alameda Unified,2014-15,1746,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61119E+12,Alameda
Alameda Science and Technology Institute,Alameda Unified,2014-15,170,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61119E+12,Alameda
Amelia Earhart Elementary,Alameda Unified,2014-15,622,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.6112E+12,Alameda
Bay Farm,Alameda Unified,2014-15,572,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.6112E+12,Alameda
Donald D. Lum Elementary,Alameda Unified,2014-15,519,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.6112E+12,Alameda
Edison Elementary,Alameda Unified,2014-15,486,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.6112E+12,Alameda
Encinal High,Alameda Unified,2014-15,1052,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61119E+12,Alameda
Encinal Junior Jets,Alameda Unified,2014-15,229,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61119E+12,Alameda
Frank Otis Elementary,Alameda Unified,2014-15,588,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.6112E+12,Alameda
Franklin Elementary,Alameda Unified,2014-15,326,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.6112E+12,Alameda
Henry Haight Elementary,Alameda Unified,2014-15,452,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.6112E+12,Alameda
Island High (Continuation),Alameda Unified,2014-15,144,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61119E+12,Alameda
Lincoln Middle,Alameda Unified,2014-15,900,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.6112E+12,Alameda
Maya Lin,Alameda Unified,2014-15,321,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61119E+12,Alameda
Ruby Bridges Elementary,Alameda Unified,2014-15,588,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61119E+12,Alameda
Ruby Bridges Elementary,Alameda Unified,2017-18,504,Natural Disasters & Weather,Inclement Weather,Heavy rain causing power outage,"January 9-10, 2018 and January 8, 2018",2018,2,1.61119E+12,Alameda
The Academy of Alameda,Alameda Unified,2014-15,508,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61119E+12,Alameda
Will C. Wood Middle,Alameda Unified,2014-15,439,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.6112E+12,Alameda
William G. Paden Elementary,Alameda Unified,2014-15,316,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.6112E+12,Alameda
Albany High,Albany City Unified,2014-15,1195,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61127E+12,Alameda
Albany Middle,Albany City Unified,2014-15,868,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61128E+12,Alameda
Cornell Elementary,Albany City Unified,2014-15,570,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61128E+12,Alameda
MacGregor High (Continuation),Albany City Unified,2014-15,27,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61127E+12,Alameda
Marin Elementary,Albany City Unified,2014-15,523,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61128E+12,Alameda
Ocean View Elementary,Albany City Unified,2014-15,697,Natural Disasters & Weather,Pineapple Express,Pineapple Express - winter storm,11-Dec-14,2014,1,1.61128E+12,Alameda
Alexander Valley Elementary,Alexander Valley Union Elementary,2003-04,125,Natural Disasters & Weather,Inclement Weather,Roads to and from school flooded. Bus unable to safely transport students,18-Feb-04,2004,1,4.9706E+13,Sonoma
Alexander Valley Elementary,Alexander Valley Union Elementary,2016-17,130,Natural Disasters & Weather,Inclement Weather,"Excessive flooding, road closures and dangerous conditions to drive in,","January 9 and 11, 2017",2017,2,4.9706E+13,Sonoma
Alexander Valley Elementary,Alexander Valley Union Elementary,2018-19,110,Natural Disasters & Weather,Inclement Weather,Road closure - weather,"February 14 and 26-27, 2019",2019,3,4.9706E+13,Sonoma
Alhambra High,Alhambra Unified,2011-12,2891,Natural Disasters & Weather,2011 California Windstorm,Windstorm,"December 1 and 2, 2011",2011,2,1.97571E+13,Los Angeles
Brightwood Elementary,Alhambra Unified,2011-12,985,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Century High,Alhambra Unified,2011-12,181,Natural Disasters & Weather,2011 California Windstorm,Windstorm,"December 1 and 2, 2011",2011,2,1.97571E+13,Los Angeles
Emery Park Elementary,Alhambra Unified,2011-12,553,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Fremont Elementary,Alhambra Unified,2011-12,630,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Garfield Elementary,Alhambra Unified,2011-12,738,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Granada Elementary,Alhambra Unified,2011-12,538,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Marguerita Elementary,Alhambra Unified,2011-12,669,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Mark Keppel High,Alhambra Unified,2011-12,2508,Natural Disasters & Weather,2011 California Windstorm,Windstorm,"December 1 and 2, 2011",2011,2,1.97571E+13,Los Angeles
Martha Baldwin Elementary,Alhambra Unified,2011-12,1064,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Monterey Highlands Elementary,Alhambra Unified,2011-12,908,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Park Elementary,Alhambra Unified,2011-12,683,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Ramona Elementary,Alhambra Unified,2011-12,901,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Repetto Elementary,Alhambra Unified,2011-12,799,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
San Gabriel High,Alhambra Unified,2011-12,2381,Natural Disasters & Weather,2011 California Windstorm,Windstorm,"December 1 and 2, 2011",2011,2,1.97571E+13,Los Angeles
William Northrup Elementary,Alhambra Unified,2011-12,797,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Ynez Elementary,Alhambra Unified,2011-12,909,Natural Disasters & Weather,2011 California Windstorm,Windstorm,1-Dec-11,2011,1,1.97571E+13,Los Angeles
Alpine County Elementary Community Day,Alpine County Unified,2002-03,3,Natural Disasters & Weather,Inclement Weather,"No electrical power due to storm. December 14 and 15 downed poles, eastern slope of sierras/school and homes.","December 16 through 20, 2002",2002,5,2.61334E+12,Alpine
Alpine County Secondary Community Day,Alpine County Unified,2002-03,1,Natural Disasters & Weather,Inclement Weather,"No electrical power due to storm. December 14 and 15 downed poles, eastern slope of sierras/school and homes.","December 16 through 20, 2002",2002,5,2.61333E+12,Alpine
Diamond Valley Elementary,Alpine County Unified,2002-03,104,Natural Disasters & Weather,Inclement Weather,"No electrical power due to storm. December 14 and 15 downed poles, eastern slope of sierras/school and homes.","December 16 through 20, 2002",2002,5,2.61334E+12,Alpine
Woodfords High,Alpine County Unified,2002-03,9,Natural Disasters & Weather,Inclement Weather,"No electrical power due to storm. December 14 and 15 downed poles, eastern slope of sierras/school and homes.","December 16 through 20, 2002",2002,5,2.61333E+12,Alpine
Carnelian Elementary,Alta Loma Elementary,2002-03,645,Natural Disasters & Weather,Inclement Weather,Wind-cause power outage,6-Jan-03,2003,1,3.6676E+13,San Bernardino
Jasper Elementary,Alta Loma Elementary,2002-03,584,Natural Disasters & Weather,Inclement Weather,Wind-cause power outage,6-Jan-03,2003,1,3.6676E+13,San Bernardino
Alta-Dutch Flat Elementary,Alta-Dutch Flat Union Elementary,2005-06,144,Natural Disasters & Weather,Inclement Weather,Snow - requesting three of four closure days.,"March 3, 6 and 14, 2006",2006,3,3.16678E+13,Placer
Alta-Dutch Flat Elementary,Alta-Dutch Flat Union Elementary,2006-07,137,Natural Disasters & Weather,Inclement Weather,"snow closed 3 days, making up 2",28-Feb-07,2007,1,3.16678E+13,Placer
Alta-Dutch Flat Elementary,Alta-Dutch Flat Union Elementary,2008-09,113,Natural Disasters & Weather,Inclement Weather,Snow,"December 15, 2008, December 19, 2008 used built in days, February 9, 2009, and February 13, 2009 need waiver.",2009,2,3.16678E+13,Placer
Alta-Dutch Flat Elementary,Alta-Dutch Flat Union Elementary,2016-17,104,Natural Disasters & Weather,Inclement Weather,Inclement weather causing road closures,"January 23, 2017 and March 6, 2017",2017,2,3.16678E+13,Placer
Alta-Dutch Flat Elementary,Alta-Dutch Flat Union Elementary,2018-19,99,Natural Disasters & Weather,Inclement Weather,Severe weather conditions,15-Feb-19,2019,1,3.16678E+13,Placer
Emigrant Gap Elementary,Alta-Dutch Flat Union Elementary,2005-06,1,Natural Disasters & Weather,Inclement Weather,Snow - requesting three of four closure days.,"March 3, 6 and 14, 2006",2006,3,3.16678E+13,Placer
Emigrant Gap Elementary,Alta-Dutch Flat Union Elementary,2006-07,3,Natural Disasters & Weather,Inclement Weather,"snow closed 3 days, making up 2",28-Feb-07,2007,1,3.16678E+13,Placer
Emigrant Gap Elementary,Alta-Dutch Flat Union Elementary,2008-09,5,Natural Disasters & Weather,Inclement Weather,Snow,"December 15, 2008, December 19, 2008 used built in days, February 9, 2009, and February 13, 2009 need waiver.",2009,2,3.16678E+13,Placer
Alview Elementary,Alview-Dairyland Union Elementary,2005-06,157,Natural Disasters & Weather,Inclement Weather,Roads closed due to flooding,7-Apr-06,2006,1,2.06518E+13,Madera
Alview Elementary,Alview-Dairyland Union Elementary,2005-06,157,Natural Disasters & Weather,Inclement Weather,busses cancelled due to fog,13-Dec-05,2005,1,2.06518E+13,Madera
Dairyland Elementary,Alview-Dairyland Union Elementary,2005-06,194,Natural Disasters & Weather,Inclement Weather,Roads closed due to flooding,7-Apr-06,2006,1,2.06518E+13,Madera
Dairyland Elementary,Alview-Dairyland Union Elementary,2005-06,194,Natural Disasters & Weather,Inclement Weather,busses cancelled due to fog,13-Dec-05,2005,1,2.06518E+13,Madera
Amador County Special Education,Amador County Office of Education,2009-10,155,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,8-Dec-09,2009,1,,Amador
Amador County Special Education,Amador County Office of Education,2010-11,155,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,,Amador
Amador County Special Education,Amador County Office of Education,2017-18,156,Natural Disasters & Weather,Inclement Weather,Snow - impassable roads,16-Mar-18,2018,1,,Amador
County Community,Amador County Office of Education,2009-10,79,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,8-Dec-09,2009,1,,Amador
County Community,Amador County Office of Education,2010-11,101,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,,Amador
County Community,Amador County Office of Education,2017-18,5,Natural Disasters & Weather,Inclement Weather,Snow - impassable roads,16-Mar-18,2018,1,,Amador
Shenandoah Valley,Amador County Office of Education,2017-18,47,Natural Disasters & Weather,Inclement Weather,Snow - impassable roads,16-Mar-18,2018,1,,Amador
Amador High,Amador County Unified,2009-10,703,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,3.73981E+12,Amador
Amador High,Amador County Unified,2010-11,638,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,3.73981E+12,Amador
Amador High,Amador County Unified,2017-18,724,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,3.73981E+12,Amador
Argonaut High,Amador County Unified,2009-10,673,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,3.73981E+12,Amador
Argonaut High,Amador County Unified,2010-11,645,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,3.73981E+12,Amador
Argonaut High,Amador County Unified,2017-18,475,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,3.73981E+12,Amador
Independence High (Continuation),Amador County Unified,2009-10,62,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,3.73981E+12,Amador
Independence High (Continuation),Amador County Unified,2010-11,65,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,3.73981E+12,Amador
Independence High (Continuation),Amador County Unified,2017-18,44,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,3.73981E+12,Amador
Ione Elementary,Amador County Unified,2009-10,474,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,3.73982E+12,Amador
Ione Elementary,Amador County Unified,2010-11,459,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,3.73982E+12,Amador
Ione Elementary,Amador County Unified,2017-18,443,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,3.73982E+12,Amador
Ione Junior High,Amador County Unified,2009-10,376,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,3.73982E+12,Amador
Ione Junior High,Amador County Unified,2010-11,361,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,3.73982E+12,Amador
Ione Junior High,Amador County Unified,2017-18,336,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,3.73982E+12,Amador
Jackson Elementary,Amador County Unified,2009-10,431,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,3.73982E+12,Amador
Jackson Elementary,Amador County Unified,2010-11,408,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,3.73982E+12,Amador
Jackson Elementary,Amador County Unified,2017-18,397,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,3.73982E+12,Amador
Jackson Junior High,Amador County Unified,2009-10,352,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,3.73982E+12,Amador
Jackson Junior High,Amador County Unified,2010-11,301,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,3.73982E+12,Amador
Jackson Junior High,Amador County Unified,2017-18,377,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,3.73982E+12,Amador
North Star Independent Study,Amador County Unified,2009-10,99,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,3.73981E+12,Amador
North Star Independent Study,Amador County Unified,2010-11,104,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,3.73981E+12,Amador
North Star Independent Study,Amador County Unified,2017-18,49,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,3.73981E+12,Amador
Pine Grove Elementary,Amador County Unified,2005-06,282,Natural Disasters & Weather,Inclement Weather,Impassable roads due to snow.,10-Mar-06,2006,1,,Amador
Pine Grove Elementary,Amador County Unified,2009-10,268,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,,Amador
Pine Grove Elementary,Amador County Unified,2010-11,271,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,,Amador
Pine Grove Elementary STEM Magnet,Amador County Unified,2017-18,287,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,3.73982E+12,Amador
Pioneer Elemenary,Amador County Unified,2005-06,219,Natural Disasters & Weather,Inclement Weather,Impassable roads due to snow.,10-Mar-06,2006,1,,
Pioneer Elementary,Amador County Unified,2006-07,195,Natural Disasters & Weather,Inclement Weather,snow storm,27-Feb-07,2007,1,,Amador
Pioneer Elementary,Amador County Unified,2009-10,218,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,,Amador
Pioneer Elementary,Amador County Unified,2010-11,219,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,,Amador
Pioneer Magnet for the Visual and Performing Arts,Amador County Unified,2017-18,218,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,,Amador
Plymouth Elementary,Amador County Unified,2009-10,217,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,3.73982E+12,Amador
Plymouth Elementary,Amador County Unified,2010-11,230,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,3.73982E+12,Amador
Plymouth Elementary,Amador County Unified,2017-18,212,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,3.73982E+12,Amador
Sutter Creek Elementary,Amador County Unified,2009-10,354,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable,8-Dec-09,2009,1,3.73982E+12,Amador
Sutter Creek Elementary,Amador County Unified,2010-11,348,Natural Disasters & Weather,Inclement Weather,Snow and ice made roads impassable.,25-Feb-11,2011,1,3.73982E+12,Amador
Sutter Creek Elementary,Amador County Unified,2017-18,364,Natural Disasters & Weather,Inclement Weather,snow - impassable roads,16-Mar-18,2018,1,3.73982E+12,Amador
Anderson Community Day,Anderson Union High,2002-03,11,Natural Disasters & Weather,Inclement Weather,"power outage, flooding, impassable roads",16-Dec-02,2002,1,4.56986E+13,Shasta
